code,municipio,cvli,cpli,siva,cvp,pib,rendapercapita,idh,idebanosiniciais,idebanosfinais,pessoalocupado,totalCrimes
250750,'joao pessoa',192,277,1471,3814,19737916.96,24319.82,0.763,4.9,4,288866,5754
251370,'santa rita',79,54,195,327,2222358.73,16239.26,0.627,3.8,3,19963,655
250400,'campina grande',54,42,936,812,8648689.52,21077.3,0.72,5.2,3.8,110075,1844
250430,'catole do rocha',29,5,4,12,380016.36,12445.68,0.64,4.5,3.2,3820,50
250180,bayeux,25,16,63,217,1355755.79,13975.42,0.649,4.4,3.5,9815,321
251620,sousa,25,10,41,73,1085479,15606.28,0.668,5.1,4.1,11176,149
251080,patos,21,26,72,202,1711982.42,15882.57,0.701,4.7,3.4,17237,321
250370,cajazeiras,16,9,48,85,1095981.1,17623.96,0.679,4.6,4,9514,158
250060,alhandra,15,4,29,32,1108878.43,56636.11,0.582,3.6,2.6,3725,80
251120,'pedras de fogo',14,9,118,42,425344.65,14924.9,0.59,4.8,4,4851,183
250690,itabaiana,10,7,5,7,273651.58,11180.86,0.613,3.7,2,2284,29
251250,queimadas,10,6,41,49,465616.75,10530.98,0.608,5.4,3.9,4060,106
250440,conceicao,10,1,8,8,161110.67,8504.57,0.592,5.3,3.7,1644,27
250300,caapora,10,5,19,10,322067.82,14725.12,0.602,3.8,3.4,4131,44
250890,mamanguape,10,10,14,38,625132.16,13890.28,0.585,3.6,2.8,6919,72
250600,esperanca,9,10,37,34,408019.81,12265.37,0.623,5.4,4.2,4397,90
251290,'rio tinto',9,6,14,16,238563.17,9876.76,0.585,3.9,3.5,4052,45
250460,conde,9,6,89,108,636029.86,25678.46,0.618,4.2,2.6,5060,212
251530,sape,8,2,12,16,529881.31,10055.25,0.569,4.5,3.6,4500,38
250280,'brejo do cruz',8,0,3,1,122272.63,8667.51,0.597,5.1,4.7,907,12
251270,remigio,8,5,39,30,168967.81,8630.05,0.607,4.7,3.6,1399,82
251670,teixeira,8,2,4,3,135520.96,8921.13,0.605,4.7,3.7,1021,17
250150,bananeiras,7,5,18,13,232446.95,10987.28,0.568,4.7,2.8,1635,43
250130,aroeiras,7,7,22,15,141192.91,7371.46,0.548,3.8,2.9,1244,51
251230,'princesa isabel',7,4,1,1,212920.62,9064.69,0.606,5.9,3.7,1812,13
250860,lucena,7,6,19,14,187657.57,14302.08,0.583,4.2,3,2314,46
250830,'lagoa seca',7,3,51,27,259406.39,9418.23,0.627,4.7,3.5,2040,88
250700,itaporanga,7,8,3,15,273881.07,11024.92,0.615,4.5,3.5,3010,33
250030,'alagoa grande',7,2,5,10,266609.18,9333.42,0.582,4.6,3.5,2183,24
250320,cabedelo,7,13,37,165,2895223.36,42556.16,0.748,4.9,4.1,22130,222
250980,mulungu,6,1,4,3,76928.09,7753.28,0.565,3.9,3.6,628,14
251210,pombal,6,3,23,37,381253.44,11635.64,0.634,6.2,4.7,3273,69
250630,guarabira,6,6,41,118,947205.25,16086.77,0.673,4.6,3.4,10623,171
250740,jerico,6,0,1,5,62621.02,8088.48,0.603,4,3.5,545,12
250040,'alagoa nova',6,8,24,12,225932.04,10920.39,0.576,4.4,2.5,2212,50
251390,'sao bento',6,7,6,14,425736.34,12442.97,0.58,4.4,3.6,3551,33
250610,fagundes,5,2,6,4,87468.99,7731.72,0.56,3.8,3.1,615,17
251200,pocinhos,5,6,23,14,233668.49,12547.98,0.591,4.7,3.8,1252,48
250710,itapororoca,5,3,9,9,172230.45,9202.8,0.564,4.1,2.4,1149,26
251690,uirauna,5,1,4,8,162912.3,10591.1,0.636,4.2,3.2,1554,18
251500,'sao miguel de taipu',5,0,1,3,62373.1,8687.06,0.548,3.5,2.9,632,9
250190,belem,5,0,9,13,170509.54,9641.48,0.592,4.7,4,1734,27
251350,'santana de mangueira',4,4,0,0,40148.46,7782.22,0.535,4.9,4.5,835,8
250970,monteiro,4,9,23,37,495885.99,14894.15,0.628,5.9,4.8,3401,73
250510,cuite,4,4,9,6,190735.69,9373.68,0.591,5.8,3.6,1524,23
250920,massaranduba,4,0,3,4,102102.78,7370.45,0.567,4.7,3.2,793,11
251445,'sao jose dos ramos',4,2,7,4,46984.99,7871.5,0.541,3.6,2.6,394,17
250200,'belem do brejo do cruz',4,4,1,0,64522.91,8782.21,0.578,4.8,3.9,494,9
251340,'santa luzia',4,5,4,5,198354.49,12879.33,0.682,5.2,3.1,1660,18
250905,marcacao,4,3,2,3,72366.94,8428.48,0.529,2.8,2.9,501,12
250900,manaira,4,1,0,5,72420.16,6512.6,0.543,4.9,3.8,571,10
251630,sume,4,3,13,12,174652.74,10299.74,0.627,4.8,4.1,1387,32
250680,inga,4,3,3,4,155981.47,8587.87,0.592,3.7,2.9,1903,14
250850,livramento,4,1,1,5,57241.65,7750.02,0.566,5.3,4.4,510,11
251010,'nova floresta',3,5,4,1,82900.04,7792.09,0.601,4.4,3.4,735,13
250625,'gado bravo',3,1,9,2,64867.08,7690.23,0.513,5.5,3.3,493,15
251640,tacima,3,0,8,4,74791.63,6819.7,0.551,4.6,4.1,626,15
250940,mogeiro,3,0,2,7,129979.94,9783.23,0.574,4.3,3.2,1534,12
250080,aracagi,3,1,10,17,167589.7,9856.48,0.549,3.8,2.9,1031,31
251610,soledade,3,4,10,15,170472.28,11374.68,0.616,3.9,3.5,1401,32
250670,imaculada,3,3,4,6,75523.88,6382.48,0.557,3.9,3.4,575,16
251070,passagem,3,1,0,2,24339.04,10040.86,0.62,5.1,3.5,244,6
251460,'sao jose do bonfim',3,0,1,2,27324.66,7662.55,0.578,4.1,4.3,182,6
251420,'sao jose da lagoa tapada',3,1,0,1,57793.84,7526.22,0.53,4.8,3.9,498,5
250540,desterro,3,0,8,4,59116.11,7117.28,0.58,4.5,3.1,524,15
250120,areial,3,4,18,8,52056.59,7463.31,0.608,5.3,3.1,521,33
250350,'cacimba de dentro',3,2,12,12,123889.44,7221.35,0.564,4.8,3.7,815,29
251410,'sao joao do tigre',3,3,0,0,34026.85,7693.16,0.552,4.5,4.4,331,6
251280,'riacho dos cavalos',3,1,0,0,70506.4,8189.85,0.568,5,4.3,712,4
251275,'riachao do bacamarte',3,0,0,3,40959.67,9043.87,0.553,4.2,3.4,462,6
250250,boqueirao,3,4,13,7,185207.94,10380.45,0.607,4.8,4.1,1374,27
250403,capim,3,3,5,4,60045.44,9164.44,0.533,3.5,4.3,617,15
250560,diamante,3,0,0,1,53268.32,8132.57,0.593,3.8,3.9,420,4
250380,'caldas brandao',2,3,9,3,65961.86,10948.03,0.568,3.4,3.5,671,17
250077,aparecida,2,2,4,3,72216.57,8566.62,0.578,4.4,4,545,11
250730,jacarau,2,4,7,5,120937.88,8411.31,0.558,4.4,3.4,1317,18
250100,araruna,2,1,5,9,165487.55,8104.98,0.567,4.3,2.8,1439,17
250290,'brejo dos santos',2,1,1,3,51654.42,7999.76,0.619,4.3,3.6,419,7
250270,borborema,2,3,2,2,62145.29,11444.8,0.558,3.7,3.1,325,9
250640,gurinhem,2,6,7,7,134899.46,9544.32,0.556,3,2.6,1036,22
250450,condado,2,3,2,0,57479.19,8511.65,0.594,4.5,3.3,399,7
